用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
wfarr,"Atlanta, GA",294,34,1,2891,440,68,59,2,6
jseifer,"Orlando, FL",240,21,0,234,61,0,0,0,0
symlink,"Oakland, CA",26,19,1,1,0,3,0,0,7
sprsquish,California,187,58,0,19,4,8,1,0,4
codahale,"Fort Collins, CO",2132,18,0,4095,607,93,52,1,3
zackchandler,San Francisco Bay Area,22,0,0,110,33,0,0,0,0
jakehow,"Austin, TX",46,12,2,397,81,0,0,0,1
evan,Boston,211,7,0,1667,376,1,0,0,2
olleolleolle,sunny Malmö in Sweden,366,334,8,15596,2141,89,64,3,80
chrismcg,"Banbridge, Northern Ireland",71,14,1,887,595,5,0,0,7
chuyeow,Singapore,137,56,0,222,66,0,0,0,0
mloughran,Cardiff,82,8,0,2656,354,1,1,0,4
matthewford,UK,79,54,0,64,16,97,41,1,32
henrik,"Todmorden, UK",430,23,3,2597,445,3,0,0,6
tkersey,"Los Angeles, CA",459,1075,1,190,21,1,0,0,299
acf,Scotland,59,2,0,17,2,0,0,0,0
dan,"Austin, Texas",466,16,1,31,5,0,0,0,1
seebq,"Atlanta, GA",82,15,3,43,15,0,0,0,0
delynn,Denver,42,13,0,221,217,0,0,0,0
spicycode,US/Eastern,290,31,0,641,103,41,1,3,6
ntalbott,"Fuquay Varina, NC, USA",135,46,0,251,58,0,0,0,0
rdempsey,"McLean, VA",92,22,0,186,79,0,0,0,0
mjankowski,CYBERSPACE,158,0,0,175,13,92,25,3,13
danahern,"Indianola, WA",36,1,0,12,2,0,0,0,0
dctanner,"London, UK",84,11,0,266,75,4,0,0,4
alexvollmer,"Seattle, WA",80,8,0,1112,264,0,0,0,0
RailsAddict,,6,0,0,2,0,0,0,0,0
scharfie,"Morgantown, WV",32,5,0,149,37,0,0,0,1
daikini,"Buhl, ID",29,1,1,155,40,0,0,0,0
tdreyno,"Portland, OR",402,1,1,793,122,61,68,0,6
ryenski,"Austin, TX",45,50,3,144,64,2,0,0,9
jnunemaker,US,1976,270,1,18440,3546,12,6,8,6
shayarnett,,122,36,0,66,14,0,0,0,0
chad,Arkansas,927,41,0,1182,155,0,0,0,1
superphly,"Mexico City, Mexico",42,18,1,3,4,1,0,0,1
swhitt,"Houston, TX",25,25,0,61,18,0,0,0,1
bryanl,"Baltimore, MD",547,7,2,7199,878,0,0,0,2
jschairb,"San Antonio, TX",47,28,0,596,87,0,0,0,2
adelcambre,"Boulder, CO",174,5,1,976,275,0,0,0,0
psi,"Philadelphia, PA",44,9,2,46,55,1,1,0,1
watsonian,,103,1,0,81,35,7,3,0,11
marcel,"San Francisco, CA",227,24,0,891,487,0,0,0,14
brapse,Mr. Wordwide,62,11,0,393,53,8,2,0,1
francois,"Sherbrooke, QC, Canada",103,2,0,512,122,8,0,3,4
aditya,New York,38,8,0,23,7,0,0,0,0
agile,"FTW, TX",63,94,3,23,2,1,0,0,9
itstommymorgan,"Greenville, SC",88,16,0,169,95,0,0,0,0
toretore,,37,4,0,1099,236,3,5,0,1
vangberg,"Aalborg, Denmark",116,20,1,587,100,0,0,6,7
jchris,"Portland, OR",683,40,3,2522,541,97,46,14,10
gspederson,"Orlando, FL USA",16,4,0,4,3,0,0,0,0
psq,"Saratoga, CA",49,0,0,293,101,0,0,0,0
andreimaxim,"Bucharest, Romania",49,3,0,25,18,2,0,0,3
robbyrussell,"Portland, Oregon USA",4722,89,1,174699,26176,2,1,0,2
kommen,"Vienna, Austria",88,7,4,2047,111,25,4,0,3
protocool,"Comox Valley, BC, Canada",74,0,0,1039,92,0,0,0,0
maddox,"Richmond, Va",874,6,2,6317,1167,1,3,1,9
jswanner,"Seattle, WA",92,5,2,1024,139,10,0,4,4
kastner,New Jersey,217,57,0,478,74,3,0,0,15
halorgium,Floating down a mountain either by ski or foot,0,0,0,6975,2166,0,0,0,0
merb,,5,0,0,295,95,0,0,0,1
lachie,"Sydney, Australia",84,28,1,293,73,0,0,0,3
anildigital,"Pune, India",125,36,3,233,75,1,0,1,4
cwsaylor,"San Francisco, CA",49,22,0,115,22,0,0,0,3
pdsphil,"Colorado Springs, CO",25,4,0,30,28,0,0,0,1
kamal,San Francisco,161,62,3,418,70,24,38,0,3
bleything,"Seattle, Washington",178,43,0,782,318,0,0,0,0
caplis,"Melbourne Beach, FL",25,19,0,25,6,0,0,0,2
jqr,"Indianapolis, IN, USA",145,63,0,2151,357,9,1,2,6
mattslack,Michigan,36,7,1,26,3,3,0,0,5
tjogin,Sweden,20,6,1,2,0,0,0,0,0
robbevan,London,28,21,1,41,12,24,1,0,1
marten,"Beilen, Netherlands",30,2,2,104,25,2,1,0,2
gnufied,"Atlanta, US",298,115,5,398,91,31,10,2,23
hoverbird,"Asheville, NC",426,200,3,646,47,0,0,0,10
beccasaurus,"Seattle, WA ☔️",465,0,2,168,28,0,0,0,0
joshuamckenty,,112,97,3,128,91,8,0,1,7
dfl,"Edinburgh, Scotland",39,17,0,174,23,16,3,0,62
floydprice,UK,15,3,0,15,7,0,0,0,16
allison-lara,"Portland, OR",34,8,0,6,1,0,0,0,0
activestylus,,24,4,0,276,23,0,0,0,0
archfear,"San Francisco, CA",53,8,0,29,28,0,0,0,1
mudge,,113,15,3,827,134,62,27,4,9
johnny,,46,4,0,1537,446,12,0,0,3
scott-steadman,"Los Angeles, CA",41,29,1,738,139,6,0,0,3
noteflakes,"Bourgogne, France",228,29,0,3222,149,76,3,4,7
doudou,"Rio de Janeiro, Brazil",72,1,6,169,50,71,57,0,30
david,Portugal,63,0,1,35,130,132,3,0,16
pedromg,Porto,45,63,2,90,171,0,0,0,1
wayne,Home,11,1,0,8,1,0,0,0,3
Steve,Austin,31,0,2,38,21,0,0,0,0
